source,count,message_shape
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_colonea': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_beirut': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_shiraz': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_oriel': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_inner_hebrides': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_rama': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_ragusa': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_esztergom': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_albi': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_lyon': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_mecca': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_medina': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
pdx_persistent_reader,1,"Error: ""There'X'county'X'c_cordoba': county, near line: N"" in file: ""common/religion/holy_site_types/N_holy_site_types.txt"" near line: N"
