path,width,height,format,mips,bytes,top_mip_bytes,canvas_fraction,map_sized
terrain/gen_desert_lowlands_04_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_lowlands_04_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_lowlands_04_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_lowlands_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_lowlands_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_lowlands_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_mountain_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_mountain_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_mountain_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_mountain_transition_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_mountain_transition_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_desert_mountain_transition_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_base_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_base_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_base_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_hills_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_hills_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_hills_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_lowlands_02_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_lowlands_02_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
