stage,level,count
now,8520,3732
now,8521,3767
now,8522,3669
now,8523,3619
now,8524,3800
now,8525,3734
now,8526,3709
now,8527,3780
now,8528,3793
now,8529,3651
now,8530,3741
now,8531,3812
now,8532,3824
now,8533,3742
now,8534,3718
now,8535,3658
now,8536,3719
now,8537,3687
now,8538,3594
now,8539,3715
now,8540,3750
now,8541,3805
now,8542,3744
now,8543,3713
now,8544,3761
now,8545,3709
now,8546,3695
now,8547,3621
now,8548,3786
now,8549,3673
now,8550,3606
now,8551,3755
now,8552,3720
now,8553,3732
now,8554,3675
now,8555,3640
now,8556,3674
now,8557,3683
now,8558,3727
now,8559,3799
now,8560,3711
now,8561,3671
now,8562,3677
now,8563,3735
now,8564,3735
now,8565,3660
now,8566,3642
now,8567,3736
now,8568,3712
now,8569,3762
now,8570,3705
now,8571,3798
now,8572,3615
now,8573,3675
now,8574,3649
now,8575,3665
now,8576,3588
now,8577,3672
now,8578,3712
now,8579,3592
now,8580,3664
now,8581,3725
now,8582,3584
now,8583,3582
now,8584,3654
now,8585,3613
now,8586,3775
now,8587,3681
now,8588,3555
now,8589,3618
now,8590,3574
now,8591,3684
now,8592,3585
now,8593,3685
now,8594,3708
now,8595,3611
now,8596,3621
now,8597,3613
now,8598,3616
now,8599,3724
now,8600,3619
now,8601,3609
now,8602,3669
now,8603,3677
now,8604,3606
now,8605,3558
now,8606,3718
now,8607,3448
now,8608,3642
now,8609,3657
now,8610,3490
now,8611,3665
now,8612,3580
now,8613,3538
now,8614,3438
now,8615,3677
now,8616,3646
now,8617,3591
now,8618,3678
now,8619,3572
now,8620,3588
now,8621,3717
now,8622,3566
now,8623,3578
now,8624,3690
now,8625,3569
now,8626,3744
now,8627,3627
now,8628,3640
now,8629,3604
now,8630,3622
now,8631,3572
now,8632,3565
now,8633,3495
now,8634,3616
now,8635,3665
now,8636,3584
now,8637,3530
now,8638,3669
now,8639,3649
now,8640,3679
now,8641,3567
now,8642,3588
now,8643,3565
now,8644,3539
now,8645,3591
now,8646,3440
now,8647,3440
now,8648,3501
now,8649,3532
now,8650,3619
now,8651,3484
now,8652,3626
now,8653,3568
now,8654,3470
now,8655,3597
now,8656,3595
now,8657,3667
now,8658,3590
now,8659,3547
now,8660,3517
now,8661,3498
now,8662,3606
now,8663,3590
now,8664,3538
now,8665,3501
now,8666,3596
now,8667,3549
now,8668,3602
now,8669,3528
now,8670,3584
now,8671,3550
now,8672,3571
now,8673,3418
now,8674,3461
now,8675,3593
now,8676,3556
now,8677,3524
now,8678,3601
now,8679,3466
now,8680,3508
now,8681,3499
now,8682,3547
now,8683,3532
now,8684,3570
now,8685,3495
now,8686,3528
now,8687,3410
now,8688,3552
now,8689,3546
now,8690,3483
now,8691,3492
now,8692,3638
now,8693,3549
now,8694,3548
now,8695,3434
now,8696,3351
now,8697,3537
now,8698,3492
now,8699,3461
now,8700,3544
now,8701,3457
now,8702,3499
now,8703,3557
now,8704,3588
now,8705,3483
now,8706,3446
now,8707,3495
now,8708,3369
now,8709,3483
now,8710,3525
now,8711,3436
now,8712,3561
now,8713,3435
now,8714,3450
now,8715,3452
now,8716,3499
now,8717,3450
now,8718,3546
